colleges,addresses,title,company,resumes,link,location,lastnames,firstnames,preview,zipcodes
"[0, 2, 1, 3]","[2, 17, 11, 15]","

Sales Planner

","
Monster
 ","[0, 7, 4, 1]",http://jobview.monster.com/Sales-Planner-Job-Chicago-IL-US-163196409.aspx?mescoid=4100683001001&jobPosition=11,"

    Chicago, IL
 ","[2, 5, 1, 3]","[4, 1, 8, 5]","
                        Sales Planner:

Are you an enthusiastic story teller? Do you live for creativity and design? Are you hyper-organized and detailed? 

The Sales Planner will support pre-sales activities and play an integral role in the success of the sales organizati......
                    ","[7, 2, 5, 3]"
"[1, 2, 0, 3]","[1, 4, 7, 16]","

Sales Representative

","
Power Home Remodeling Group
 ","[7, 1, 5, 6]",http://jobview.monster.com/Sales-Representative-Job-Chicago-IL-US-165181969.aspx?mescoid=4100683001001&jobPosition=12,"

    Chicago, IL
 ","[2, 6, 5, 3]","[6, 1, 3, 5]","
                        What if you could actually live that life you dreamed of? What if you didnt have to go at it alone? What if you had the Power? Here, nothing is impossible. Your success is in your own hands, and we have your back the whole way. Strong leaders, ment......
                    ","[1, 3, 16, 18]"
"[2, 1, 0, 3]","[18, 15, 7, 12]","

Sales Lead  (513-255)

","
Pick-n-Pull
 ","[7, 6, 0, 1]",http://jobview.monster.com/Sales-Lead-513-255-Job-Summit-IL-US-165262098.aspx?mescoid=4100666001001&jobPosition=13,"

    Summit, IL
 ","[2, 7, 0, 5]","[2, 5, 8, 6]","
                        PICK-n-PULL Auto Dismantlers is a self-service auto dismantling and recycling company, now with 60+ LOCATIONS throughout the U.S. and Canada, which is focused on consolidating the highly fragmented recycled auto parts market. PICK-n-PULL is a $300+ ......
                    ","[6, 5, 9, 1]"
"[0, 2, 1, 3]","[17, 5, 11, 13]","

Sales Applications Engineer

","
Sedona Staffing
 ","[7, 0, 3, 2]",http://jobview.monster.com/Sales-Applications-Engineer-Job-Winnetka-IL-US-164797316.aspx?mescoid=1500127001001&jobPosition=14,"

    Winnetka, IL
 ","[2, 5, 8, 7]","[6, 1, 4, 0]","
                        Assist Custom Business Development Manager with assigned tasks to support ongoing sales of existing custom structures that have already gone through the Opportunity Registration process. Provide technical support to OEM customers, authorized distrib......
                    ","[8, 1, 18, 17]"
"[2, 0, 3, 1]","[4, 2, 15, 9]","

Outside Sales

","
Central Payment
  ","[0, 7, 6, 1]",http://jobview.monster.com/Outside-Sales-Job-Chicago-IL-US-148396548.aspx?mescoid=4100691001001&jobPosition=15,"

    Chicago, IL
 ","[4, 3, 2, 1]","[4, 5, 2, 7]","
                        If you   are a confident and highly motivated individual looking for a great sales opportunity   with uncapped earnings and growth potential, join our Sales team at Central   Payment! We are seeking energetic and entrepreneurial Outside Sales Reps t......
                    ","[5, 2, 14, 15]"
"[3, 1, 0, 2]","[5, 2, 16, 1]","

HVAC Sales - Residential

","
American Vintage Home, Inc.
 ","[0, 3, 7, 2]",http://jobview.monster.com/HVAC-Sales-Residential-Job-evanston-IL-US-164495030.aspx?mescoid=4100683001001&jobPosition=16,"

    evanston, IL
 ","[0, 2, 5, 1]","[2, 3, 7, 1]","
                        American Vintage Home  is the #1 authority on the heating, cooling and plumbing needs for all Evanston, Wilmette, Winnetka  and North Shore, Illinois homes. Our purpose is to provide  our customers with an unparallel level of service 24 hours a day!......
                    ","[6, 7, 5, 9]"
"[0, 1, 3, 2]","[10, 2, 12, 5]","

Territory Sales Manager

","
FDLIC
  ","[7, 4, 5, 0]",http://jobview.monster.com/Territory-Sales-Manager-Job-Chicago-IL-US-165234339.aspx?mescoid=4100666001001&jobPosition=17,"

    Chicago, IL
 ","[0, 8, 3, 4]","[3, 0, 5, 1]","
                        Are you constantly looking for ways to create value for your   customers?  Do you dream of developing meaningful partnerships with   organizations in your community?  Are you a knowledgeable, trusted   business advisor?  If so, FDLIC would like to v......
                    ","[4, 14, 6, 8]"
"[0, 2, 3, 1]","[6, 13, 7, 10]","

Sales RepresentativeRural Markets

","
Platinum Supplemental Insurance
 ","[5, 1, 4, 0]",http://job-openings.monster.com/monster/24b15270-edd5-4524-9d67-63ce609a7640?mescoid=4100683001001&jobPosition=18,"

    Chicago, IL
 ","[3, 7, 1, 2]","[2, 3, 6, 7]","
                        Position Description for Sales Representative

For nearly 20 years, Platinum Supplemental Insurance has been one of the most innovative marketers of supplemental health insurance products in the Midwest. The straight-forward, customer-first approach......
                    ","[8, 15, 14, 16]"
"[3, 0, 2, 1]","[2, 5, 15, 9]","

Product Support Sales Representative (20160123)

","
EnerSys
 ","[2, 5, 6, 3]",http://jobview.monster.com/Product-Support-Sales-Representative-20160123-Job-Romeoville-IL-US-164785427.aspx?mescoid=4300715001001&jobPosition=19,"

    Romeoville, IL
 ","[7, 1, 0, 6]","[4, 5, 0, 2]","
                        EnerSys is the global leader in stored energy solutions for industrial applications. We have over twenty manufacturing and assembly plants worldwide servicing over 10,000 customers in more than 100 countries. Worldwide and Americas headquarters are ......
                    ","[4, 0, 16, 11]"
"[3, 0, 2, 1]","[17, 2, 4, 16]","

Customer Service   Consider Lucrative Career Change to Sales  Entry Level

","
Aflac
 ","[3, 7, 2, 1]",http://jobview.monster.com/Customer-Service-%E2%80%93-Consider-Lucrative-Career-Change-to-Sales-%E2%80%93-Entry-Level-Job-Oak-Lawn-IL-US-164408657.aspx?mescoid=4300715001001&jobPosition=20,"

    Oak Lawn, IL
 ","[5, 8, 4, 3]","[4, 0, 7, 8]","
                        We are looking for enthusiastic, career-minded, motivated individuals to become independent insurance sales representatives, working in a professional business-to-business sales environment. As an independent insurance agent representing Aflac, you......
                    ","[17, 9, 3, 1]"
"[2, 0, 1, 3]","[16, 9, 10, 5]","

Sales Representative - Insurance Agents Wanted

","
Insphere Insurance Solutions
 ","[6, 5, 4, 2]",http://jobview.monster.com/sales-representative-insurance-agents-wanted-job-naperville-il-us-164142737.aspx?jobPosition=21,"

    Naperville, IL
 ","[8, 1, 7, 6]","[5, 0, 6, 3]","
                        HealthMarkets represent numerous national carriers  with over 180 Regional and National Health, Medicare, Supplements, Life, Long-Term Care and Retirement, Annuities products; youll have a solution for virtually any insurance need. We have the winning formula to help you build a successful business by combining our innovative tools and steady support with your drive to succeed. Whether you are n...
                    ","[6, 3, 4, 12]"
"[0, 2, 1, 3]","[11, 2, 14, 4]","

Sales Representative - Insurance Agent

","
Insphere Insurance Solutions
 ","[2, 5, 4, 7]",http://jobview.monster.com/sales-representative-insurance-agent-job-naperville-il-us-164142790.aspx?jobPosition=22,"

    Naperville, IL
 ","[7, 3, 1, 0]","[3, 4, 7, 2]","
                        HealthMarkets represent numerous national carriers  with over 180 Regional and National Health, Medicare, Supplements, Life, Long-Term Care and Retirement, Annuities products; youll have a solution for virtually any insurance need. We have the winning formula to help you build a successful business by combining our innovative tools and steady support with your drive to succeed. Whether you are n...
                    ","[8, 12, 14, 1]"
"[0, 2, 3, 1]","[14, 13, 6, 3]","

ACCOUNT COORDINATOR - INSIDE SALES

","
Berlin Packaging
 ","[2, 7, 1, 0]",http://jobview.monster.com/account-coordinator-inside-sales-job-bolingbrook-il-us-164592584.aspx?jobPosition=23,"

    Bolingbrook, IL
 ","[7, 2, 4, 8]","[8, 6, 0, 2]","
                        What We Do At Berlin Packaging, we believe that Anything is Possible and it is our mission to thrill our customers. Our top priority is to reduce their costs, increase their net income, and improve their productivity through packaging products and services. We pride ourselves on being ferociously committed to executing and going above and beyond in pursuit of thrilling our customers. Who We Are L...
                    ","[10, 15, 9, 13]"
"[3, 0, 2, 1]","[4, 5, 7, 14]","

Business Development Manager / IT Sales Executive -- Midwest

","
Cogent Data Solutions, LLC
 ","[1, 6, 5, 3]",http://jobview.monster.com/business-development-manager-it-sales-executive-midwest-job-hoffman-estates-il-us-154059634.aspx?jobPosition=24,"

    Hoffman Estates, IL
 ","[7, 0, 8, 3]","[7, 6, 8, 4]","
                        Location: Hoffman Estates, IL Area Code: 847 Telecommute: no Travel Required: none Skills:IT Staffing Sales - Business Development Manager / Account Manager / IT SOW Sales Pay Rate: DOE Tax Term: FULLTIME Length: FULLTIME Cogent Data Solutions LLC (CDS) has an immediate need for BusinessDevelopment Manager based in Chicago, IL to help us develop new business opportunites. We are planning to expand...
                    ","[15, 18, 0, 3]"
"[1, 0, 2, 3]","[5, 8, 3, 9]","

SALES ASSOCIATE

","
National Vision
 ","[5, 4, 1, 2]",http://jobview.monster.com/sales-associate-job-algonquin-il-us-164363988.aspx?jobPosition=25,"

    Algonquin, IL
 ","[4, 6, 2, 8]","[1, 4, 2, 7]","
                        Americas Best is a wholly owned subsidiary of National Vision, Inc that currently operates retail optical stores in 28 states and the District of Columbia. With over 370 locations across the country, and forty stores being added annually, America's Best consistently delivers millions of pairs of quality eyeglasses, contact lenses and eye exams to our customers at the low prices America deserves e...
                    ","[4, 17, 14, 2]"
"[3, 2, 0, 1]","[10, 15, 13, 6]","

Sales Engineer - Midwest

","
Dynacast
 ","[4, 1, 2, 7]",http://jobview.monster.com/Sales-Engineer-Midwest-Job-Chicago-IL-US-159932954.aspx?mescoid=4100688001001&jobPosition=1,"

    Chicago, IL
 ","[5, 3, 6, 1]","[8, 3, 0, 4]","
                        POSITION AND CANDIDATE SPECIFICATION

 

  

 

Sales Engineer  Midwest

 

POSITION SPECIFICATION

 

Company

 

With Headquarters in Charlotte, NC, Dynacast () is a global manufacturer of small, engineered die cast components for thousands of co......
                    ","[2, 8, 4, 17]"
"[0, 1, 3, 2]","[9, 17, 0, 7]","

Event Specialist Part Time Sales

","
Advantage Solutions
 ","[2, 5, 6, 3]",http://jobview.monster.com/Event-Specialist-Part-Time-Sales-Job-Hillside-IL-US-164529206.aspx?mescoid=1300088001001&jobPosition=2,"

    Hillside, IL
 ","[3, 5, 2, 1]","[0, 2, 5, 8]","
                        Summary
  
    
      

                  Event Specialist Part Time Sales                    

                     

        Are you outgoing, friendly and enjoy meeting new people?  Our part time Event Specialist jobs are fun and exciting and cou......
                    ","[16, 5, 12, 6]"
"[1, 0, 2, 3]","[13, 14, 15, 3]","

Acct Exec 3, Enterprise Direct Sales

","
Comcast
  ","[4, 0, 1, 2]",http://jobview.monster.com/Acct-Exec-3-Enterprise-Direct-Sales-Job-Oak-Brook-IL-US-164850996.aspx?mescoid=4100683001001&jobPosition=3,"

    Oak Brook, IL
 ","[2, 4, 6, 0]","[6, 5, 8, 2]","
                        Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create c......
                    ","[6, 2, 12, 5]"
"[1, 0, 3, 2]","[17, 16, 5, 9]","

Sales Representative

","
American Dream Home Improvement Inc
 ","[5, 7, 0, 2]",http://jobview.monster.com/Sales-Representative-Job-Mokena-IL-US-164643801.aspx?mescoid=4100683001001&jobPosition=4,"

    Mokena, IL
 ","[1, 4, 0, 5]","[8, 1, 5, 2]","
                        American Dream Home Improvement (ADHI) is now hiring Sales Representatives, Managers, and Professionals  to join the ADHI Dream Team. Our Team Members  are some of the best-trained professionals in the industry. Our success as a company is a direct ......
                    ","[16, 4, 8, 17]"
"[0, 2, 1, 3]","[10, 11, 9, 0]","

Sales Representatives*ALL LEADS PROVIDED* Peoria, IL (Apr 4th)

","
Sears
 ","[3, 0, 4, 1]",http://jobview.monster.com/Sales-Representatives-ALL-LEADS-PROVIDED-Peoria-IL-Apr-4th-Job-ELK-GROVE-VILLAGE-IL-US-164864801.aspx?mescoid=4100683001001&jobPosition=5,"

    ELK GROVE VILLAGE, IL
 ","[1, 6, 4, 7]","[8, 0, 4, 6]","
                        Sears Home Improvement Products and Services, a member of the Sears Holdings Corporation (NASDAQ: SHLD) family of companies, is one of America's largest home improvement companies for siding and windows installation with operations in 45 states. Our......
                    ","[0, 12, 8, 13]"
"[1, 2, 0, 3]","[4, 12, 7, 11]","

AT&T Business Sales Leadership Development Program Bilingual Spanish

","
AT&T
  ","[5, 0, 6, 4]",http://jobview.monster.com/AT-T-Business-Sales-Leadership-Development-Program-Bilingual-Spanish-Job-Chicago-IL-US-163930644.aspx?mescoid=4100666001001&jobPosition=6,"

    Chicago, IL
 ","[6, 2, 5, 1]","[4, 0, 5, 7]","
                        Our business sales professionals are elite self-starters with a drive to transform the way our customers do business through technology. Wireless solutions? Nosotros las tenemos. Cloud solutions? Nosotros las proveemos. As a member of our team, you......
                    ","[0, 6, 13, 12]"
"[1, 0, 2, 3]","[10, 8, 13, 4]","

Sales Executvie

","
Michael Page USA
 ","[5, 1, 7, 2]",http://jobview.monster.com/Sales-Executvie-Job-Chicago-IL-US-164303420.aspx?mescoid=4100666001001&jobPosition=7,"

    Chicago, IL
 ","[5, 2, 1, 6]","[0, 7, 3, 8]","
                        Michael Page International in Chicago is looking to recruit experienced sales professionals to join our growing business. We are a global executive search firm with 165 + offices worldwide. We offer our clients a consultative, high level, targeted a......
                    ","[7, 16, 18, 1]"
"[1, 3, 2, 0]","[2, 13, 17, 18]","

Sales Assistant Manager - Bilingual

","
Rent A Center
 ","[2, 7, 1, 5]",http://jobview.monster.com/Sales-Assistant-Manager-Bilingual-Job-HAMMOND-IN-US-164778559.aspx?mescoid=4100666001001&jobPosition=8,"

    HAMMOND, IN
 ","[2, 1, 4, 3]","[7, 5, 0, 2]","
                        Job Description

Take your career to the next level and join the team of over 20,000 Rent-A-Center coworkers. At Rent-A-Center, our business is centered on service and were passionate about what we do. 

Our environment is fast-paced and offers amp......
                    ","[7, 17, 4, 16]"
"[0, 2, 1, 3]","[0, 13, 1, 17]","

Medical Device - Aesthetics - Sales

","
Bellus Medical
 ","[1, 4, 2, 3]",http://jobview.monster.com/Medical-Device-Aesthetics-Sales-Job-Chicago-IL-US-165111343.aspx?mescoid=4100683001001&jobPosition=9,"

    Chicago, IL
 ","[3, 2, 4, 1]","[8, 4, 3, 5]","
                        Bellus Medical is seeking a results-oriented sales professionals to represent our product portfolio. We look to hire sales representatives who possess an extensive background in the medical aesthetic market and can couple their relationships with th......
                    ","[5, 3, 9, 17]"
"[3, 0, 1, 2]","[9, 1, 12, 11]","

Outside Sales Representative  2-4 Preset Appointments Daily (Merchant Services B2B)

","
Volt Payments
 ","[6, 5, 0, 3]",http://jobview.monster.com/Outside-Sales-Representative-%E2%80%93-2-4-Preset-Appointments-Daily-Merchant-Services-B2B-Job-Chicago-IL-US-152771171.aspx?mescoid=4100683001001&jobPosition=10,"

    Chicago, IL
 ","[7, 3, 0, 8]","[5, 3, 4, 1]","
                        Outside Sales Representative 2-4 Preset Appointments Daily (Merchant Services B2B)

 

Volt Payments electrifies small to midsize business owners with the most innovative revenue and profit building business tools available.  Let us do the same for......
                    ","[11, 4, 3, 17]"
"[0, 1, 3, 2]","[12, 4, 6, 13]","

Junior Sales Position - Sports Minded

","
Chicago Marketing
 ","[6, 3, 2, 4]",http://jobview.monster.com/Junior-Sales-Position-Sports-Minded-Job-Oak-Lawn-IL-US-164432834.aspx?mescoid=4100683001001&jobPosition=11,"

    Oak Lawn, IL
 ","[1, 5, 4, 8]","[4, 5, 2, 8]","
                        Junior Sales & Advertising




 



South Chicago Marketing Inc is a promotional marketing and advertising firm that has just expanded our office and added a new division. We specialize in developing cost effective strategies, yielding our clients e......
                    ","[9, 6, 15, 18]"
"[3, 1, 2, 0]","[11, 13, 7, 16]","

Sales Rep / Outside Sales / Territory Sales

","
Terminix
 ","[7, 0, 1, 4]",http://jobview.monster.com/Sales-Rep-Outside-Sales-Territory-Sales-Job-Mokena-IL-US-164567610.aspx?mescoid=4100683001001&jobPosition=12,"

    Mokena, IL
 ","[7, 0, 4, 3]","[8, 5, 1, 6]","
                        Learns how to conduct inspections to identify infestations or conditions conducive to 
infestations of wood destroying organisms and/or insects, birds, or other vertebrate pests for the purpose of making proposals and presentations to obtain sales c......
                    ","[5, 15, 2, 8]"
"[1, 0, 3, 2]","[9, 6, 0, 14]","

Branch Inside Sales Representative (H) - 100711

","
TruGreen
 ","[3, 4, 2, 1]",http://jobview.monster.com/Branch-Inside-Sales-Representative-H-100711-Job-Crestwood-IL-US-164972665.aspx?mescoid=4100683001001&jobPosition=13,"

    Crestwood, IL
 ","[0, 8, 7, 6]","[7, 5, 0, 6]","
                        TruGreen is the nation's largest and most comprehensive provider of lawn services. Headquartered in Memphis, TN, we have more than 245 branches throughout the country. Although we are national in reach and reliability, we have a small company feel ......
                    ","[3, 5, 11, 12]"
"[1, 0, 3, 2]","[6, 11, 9, 1]","

Sales - Insurance Agent - Training Provided

","
Insphere Insurance Solutions
 ","[5, 3, 4, 6]",http://jobview.monster.com/Sales-Insurance-Agent-Training-Provided-Job-Orland-Park-IL-US-164257469.aspx?mescoid=4100673001001&jobPosition=14,"

    Orland Park, IL
 ","[3, 2, 5, 6]","[0, 2, 6, 8]","
                        Increasingly individuals are making decisions about insurance in the comfort of their own homes. HealthMarkets Insurance Agency continues to flourish by successfully supporting the growth of our partner agents, implementing new technologies to ensur......
                    ","[18, 1, 17, 2]"
"[0, 3, 1, 2]","[8, 15, 14, 7]","

Sales Executive (US Market)

","
Tycon Alloy Industries (Hong Kong) Company Limited
 ","[3, 6, 4, 7]",http://jobview.monster.com/Sales-Executive-US-Market-Job-Chicago-IL-US-164396740.aspx?mescoid=4100666001001&jobPosition=15,"

    Chicago, IL
 ","[5, 0, 6, 3]","[5, 2, 8, 7]","
                        Tycon Alloy Industries (Hong Kong) Company Limited is a wholly-owned subsidiary of CHTC Fong's Industries Co. Ltd. specializes in producing stainless steel, duplex, and Ni-based castings (Both sand and investment types) and machine parts for wide sp......
                    ","[1, 6, 15, 3]"
"[3, 1, 0, 2]","[5, 7, 13, 12]","

Sales Representative - Printing/Mailing Industry

","
Specialty Finishing Group
 ","[2, 1, 3, 7]",http://jobview.monster.com/Sales-Representative-Printing-Mailing-Industry-Job-Elk-Grove-Village-IL-US-163567416.aspx?mescoid=4100683001001&jobPosition=16,"

    Elk Grove Village, IL
 ","[3, 0, 6, 4]","[6, 2, 5, 8]","
                        Specialty Finishing Group in Elk Grove Village is the largest bindery-letter shop in the entire Midwest. No other bindery has our comprehensive finishing services including perfect binding, foil stamping, die cutting, mechanical binding, padding, an......
                    ","[16, 0, 18, 4]"
"[0, 3, 2, 1]","[12, 11, 3, 5]","

Customer Service / Sales

","
Vector Marketing
 ","[5, 0, 4, 2]",http://job-openings.monster.com/monster/f68088fc-0cda-4ce0-87a5-4ff4531b95d9?mescoid=4300715001001&jobPosition=17,"

    Tinley Park, IL
 ","[0, 4, 6, 3]","[5, 2, 6, 8]","
                        Immediate openings for part-time and some full-time customer service focused sales positions. Good opportunity for college students, recent high school graduates, and anyone who needs to make some extra money. No previous is experience needed; full ......
                    ","[5, 6, 9, 15]"
"[0, 1, 3, 2]","[8, 0, 3, 1]","

Entry Level Marketing and Sales - Sports Minded Individuals

","
Coast, Incorporated
 ","[2, 6, 5, 4]",http://jobview.monster.com/Entry-Level-Marketing-Sales-Sports-Minded-Individuals-Job-Chicago-IL-US-164646399.aspx?mescoid=1300092001001&jobPosition=18,"

    Chicago, IL
 ","[6, 5, 7, 3]","[2, 7, 5, 1]","
                        www.coastincorporated.com



Job Description:

We have an entry level sales and marketing position open.  This job involves one on one sales presentation with business customers on behalf of the leading energy supplier in the country.  Candidates wi......
                    ","[1, 2, 10, 5]"
"[1, 2, 0, 3]","[11, 4, 10, 12]","

Online Sales Representative

","
Koch Davis
 ","[4, 1, 3, 0]",http://jobview.monster.com/Online-Sales-Representative-Job-Chicago-IL-US-165211828.aspx?mescoid=1500146001001&jobPosition=19,"

    Chicago, IL
 ","[6, 0, 2, 1]","[6, 3, 4, 7]","
                        The online advertising agent will assist with the planning and execution of companies online marketing programs as well as handle content creation and be responsible for analyzing analytics across companies built in online, mobile and social media c......
                    ","[5, 17, 4, 13]"
"[1, 2, 3, 0]","[6, 18, 7, 14]","

IT Inside/Telemarketing Sales (work from home)

","
AB2 Consulting Inc
 ","[5, 3, 4, 0]",http://jobview.monster.com/IT-Inside-Telemarketing-Sales-work-from-home-Job-Rolling-Meadows-IL-US-164175279.aspx?mescoid=4100683001001&jobPosition=20,"

    Rolling Meadows, IL
 ","[3, 7, 6, 1]","[7, 4, 1, 2]","
                        Growing IT Consulting, Staffing company is seeking to fill an or (2) inside/telemarketing sales position. 


You are free to work from home but will be required to attend period meetings in Rolling Meadows, IL


Duties and Responsibilities:


- Make......
                    ","[2, 13, 12, 14]"
"[3, 2, 1, 0]","[9, 10, 5, 12]","

Inside/Outside Sales Rep (H)-101311 Base Pay + Com.

","
TruGreen
 ","[6, 2, 0, 4]",http://jobview.monster.com/inside-outside-sales-rep-h-101311-base-pay-com-job-hickory-hills-il-us-164972098.aspx?jobPosition=21,"

    Hickory Hills, IL
 ","[0, 4, 7, 1]","[7, 0, 1, 5]","
                        Youre independent, driven by performance, and looking for more than a job. Were TruGreen, and as the nations largest and most comprehensive provider of lawn services, we have bigger opportunities for people like you. Were seeking Inside/Outside Sales Representatives, offering competitive pay plus commission to prospect and generate sales. This isnt your ordinary sales job. With TruGreen, you...
                    ","[13, 1, 2, 4]"
"[2, 3, 0, 1]","[18, 8, 0, 17]","

Residential Outside Sales-Non Driver-101202

","
TruGreen
 ","[4, 5, 2, 3]",http://jobview.monster.com/residential-outside-sales-non-driver-101202-job-hickory-hills-il-us-164972251.aspx?jobPosition=22,"

    Hickory Hills, IL
 ","[5, 4, 3, 0]","[5, 6, 4, 0]","
                        TruGreen is the nation's largest and most comprehensive provider of lawn services. Headquartered in Memphis, TN, we have more than 245 branches throughout the country. Although we are national in reach and reliability, we have a small company feel as our highly trained professionals live and work in the communities they serve. As with our customers, we are committed to providing personalized atte...
                    ","[9, 4, 5, 11]"
